target,v1,v2,v3,v4,v5,v6,v7,v8,sample_type
4.44,658.4375,403.875,696.75,558.5,699.5625,404.5625,725.875,3961.4375,lab 2
4.57,593.8125,379.625,637.125,489,672.875,368.375,689.375,3836.5625,lab 2
4.14,620.875,367,659,480,668.25,364.0625,752.1875,3772.875,lab 2
4.55,602,384.666666666666,663.066666666666,491.2,663.6,355.8,718.933333333333,3836,lab 2
4.37,605.2,376.466666666666,696.266666666666,533.666666666666,687.6,387.8,764.266666666666,3853.13333333333,lab 2
4.2,619.666666666666,366.133333333333,680.533333333333,509.266666666666,684.133333333333,369.133333333333,783.066666666666,3962.66666666666,lab 2
4.69,651.533333333333,371.6,657.533333333333,485.066666666666,656.666666666666,355.533333333333,715.133333333333,3958.73333333333,lab 2
4.48,676.066666666666,414.2,702.533333333333,555.6,693.733333333333,397.4,750.4,3922.86666666666,lab 2
4.58,672.5,412.3125,692.125,547.75,712.6875,396.125,771.25,3868.125,lab 2
4.52,641,383.4,667.133333333333,535.133333333333,699.466666666666,371.466666666666,759.266666666666,3869,lab 2
4.45,614.1875,368.375,650.25,500.0625,678.6875,349,707.5625,3889.625,lab 2
4.84,601.3125,369.6875,662.75,482.8125,663.6875,355.625,706.375,3873,lab 2
4.34,616.933333333333,333.6,654.6,494.533333333333,655.733333333333,350.266666666666,723.866666666666,3823,lab 2
4.65,652.666666666666,410.466666666666,687.533333333333,552.866666666666,714.733333333333,389.266666666666,757.666666666666,3883.53333333333,lab 2
4.54,635.5625,332.8125,651.4375,496.625,669.75,329.4375,721.5625,3947.125,lab 2
4.97,640.357142857142,396.714285714285,682.857142857142,530.642857142857,691.357142857142,384,759.142857142857,3790.92857142857,lab 2
4.72,670.133333333333,378,694,542.4,706.666666666666,371.533333333333,791.466666666666,3725.66666666666,lab 2
4.73,635.933333333333,376.4,640.4,519.266666666666,695.533333333333,361.066666666666,719.466666666666,3738.46666666666,lab 2
4.69,597.733333333333,370.666666666666,670.266666666666,484.8,674.666666666666,357.466666666666,746.066666666666,3892.93333333333,lab 2
4.8,583.875,349.1875,641.625,477,664,327.8125,665.75,3917.625,lab 2
4.62,570.5625,344.0625,629.0625,487.4375,672.9375,323.75,708.75,3889.375,lab 2
4.73,567.5625,356.5,623,476.5,661.0625,321.0625,695.9375,3858.5,lab 2
4.13,646.4,389.666666666666,684.6,527,699.4,354.933333333333,759.133333333333,3895.4,lab 2
4.79,624.2,377.666666666666,645.666666666666,486.733333333333,699.733333333333,364.4,734.2,3741.26666666666,lab 2
4.83,573.25,361.25,643.125,489.8125,666.875,355.25,712.3125,3943.6875,lab 2
4.47,678.375,398.125,678.25,541.125,704,393.5,788.8125,3928.1875,lab 2
4.63,634,382.866666666666,657.466666666666,505.066666666666,719.2,366.6,792.133333333333,3861.2,lab 2
4.35,615.3125,366.75,642.9375,483.6875,675.625,359.0625,730.125,3859.0625,lab 2
4.43,575.2,350.266666666666,648.333333333333,495.4,679.8,346.266666666666,718.733333333333,3903.33333333333,lab 2
